江苏电信,#genre#
香港电影?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.196:6000
美国电影?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.197:6000
国语电影?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.198:6000
香港电视?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.201:6000
体育转播1?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.205:6000
体育转播2?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.207:6000
体育转播3?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.208:6000
CCTV5-标清?,http://121.237.53.178:8888/rtp/239.49.1.190:6000
CCTV5-标清2?,http://121.237.53.178:8888/rtp/239.49.1.192:6000
游戏达人,http://121.237.53.178:8888/rtp/239.49.1.78:6000
江苏看新闻吧IPTV,http://121.237.53.178:8888/rtp/239.49.0.191:9462#http://121.237.53.178:8888/rtp/239.49.1.75:6000
火爆片场,http://121.237.53.178:8888/rtp/239.49.0.192:9466#http://121.237.53.178:8888/rtp/239.49.1.79:6000
华语片场,http://121.237.53.178:8888/rtp/239.49.0.193:9470#http://121.237.53.178:8888/rtp/239.49.1.80:6000
生活剧场,http://121.237.53.178:8888/rtp/239.49.0.194:9474#http://121.237.53.178:8888/rtp/239.49.1.81:6000
金庸武侠,http://121.237.53.178:8888/rtp/239.49.0.195:9478#http://121.237.53.178:8888/rtp/239.49.1.82:6000
谍战悬疑,http://121.237.53.178:8888/rtp/239.49.0.196:9482#http://121.237.53.178:8888/rtp/239.49.1.83:6000
凤凰天下,http://121.237.53.178:8888/rtp/239.49.0.197:9486#http://121.237.53.178:8888/rtp/239.49.1.87:6000
史海钩沉,http://121.237.53.178:8888/rtp/239.49.0.198:9490#http://121.237.53.178:8888/rtp/239.49.1.89:6000
养生,http://121.237.53.178:8888/rtp/239.49.0.199:9494#http://121.237.53.178:8888/rtp/239.49.1.91:6000
超炫动漫,http://121.237.53.178:8888/rtp/239.49.0.200:9498#http://121.237.53.178:8888/rtp/239.49.1.84:6000
寰宇纪实,http://121.237.53.178:8888/rtp/239.49.0.201:9502#http://121.237.53.178:8888/rtp/239.49.1.88:6000
铁血军事,http://121.237.53.178:8888/rtp/239.49.0.202:9506#http://121.237.53.178:8888/rtp/239.49.1.93:6000
娱乐秀场,http://121.237.53.178:8888/rtp/239.49.0.203:9510#http://121.237.53.178:8888/rtp/239.49.1.85:6000
随音听乐,http://121.237.53.178:8888/rtp/239.49.0.204:9514#http://121.237.53.178:8888/rtp/239.49.1.86:6000
江苏体坛风云,http://121.237.53.178:8888/rtp/239.49.0.205:9518#http://121.237.53.178:8888/rtp/239.49.1.76:6000
谈股论金,http://121.237.53.178:8888/rtp/239.49.0.206:9522#http://121.237.53.178:8888/rtp/239.49.1.90:6000
举案说法,http://121.237.53.178:8888/rtp/239.49.0.207:9526#http://121.237.53.178:8888/rtp/239.49.1.94:6000
时尚女人,http://121.237.53.178:8888/rtp/239.49.0.208:9530#http://121.237.53.178:8888/rtp/239.49.1.92:6000
itv导视高清,http://121.237.53.178:8888/rtp/239.49.8.34:8612#http://121.237.53.178:8888/rtp/239.49.8.150:6000
导视1?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.187:6000
导视2?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.186:6000
导视3?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.188:6000
导视4?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.185:6000
导视5?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.184:6000
导视6?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.152:6000
导视7?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.149:6000
导视8?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.150:6000
导视9?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.183:6000
导视10?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.191:6000
导视11?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.194:6000
导视12?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.195:6000
导视13?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.202:6000
导视14?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.203:6000
导视15?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.204:6000
导视16?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.206:6000
导视17?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.209:6000
导视18?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.210:6000
导视19?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.215:6000
导视20?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.217:6000
导视21?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.218:6000
导视22?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.220:6000
导视23?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.222:6000
导视24?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.223:6000
导视25?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.224:6000
导视26?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.173:6000
导视-江苏ITV,http://121.237.53.178:8888/rtp/239.49.0.190:9458#http://121.237.53.178:8888/rtp/239.49.1.74:6000
中国体彩,http://121.237.53.178:8888/rtp/239.49.1.159:6000
中国体彩2,http://121.237.53.178:8888/rtp/239.49.1.160:6000
中国体彩3,http://121.237.53.178:8888/rtp/239.49.1.161:6000
幸福彩,http://121.237.53.178:8888/rtp/239.49.1.172:6000
体彩玩法直播,http://121.237.53.178:8888/rtp/239.49.0.111:8880
4K测试3,http://121.237.53.178:8888/rtp/239.49.8.71:8000
4K测试5,http://121.237.53.178:8888/rtp/239.49.8.72:8000
4K测试4,http://121.237.53.178:8888/rtp/239.49.8.191:6000
4K测试1,http://121.237.53.178:8888/rtp/239.49.8.192:6000
